N1,N2,
N2,N3,
N3,N4,
N4,N5,
N5,N6,
N6,N7,
N7,N8,
N8,N9,
N9,N10,
N10,N11,
N11,N12,
N12,N13,
N13,N14,
N14,N15,
N15,N16,
N16,N17,
N17,N18,
N18,N19,
N19,N20,
N20,N21,
N21,N22,
N22,N23,
N23,N24,
N24,N25,
N25,N26,
N26,N27,
N27,N28,
N28,N29,
N29,N30,
N30,N31,
N31,N32,
N32,N33,
N33,N34,
N34,N35,
N35,N36,
N36,N37,
N37,N38,
N38,N39,
N39,N40,
N40,N41,
N41,N42,
N42,N43,
N43,N44,
N44,N45,
N45,N46,
N46,N47,
N47,N48,
N48,N49,
N49,N50,
N50,N51,
N51,N52,
N52,N53,
N53,N54,
N54,N55,
N55,N56,
N56,N57,
N57,N58,
N58,N59,
N59,N60,
N60,N61,
N61,N62,
N62,N63,
N63,N64,
N64,N65,
N65,N66,
N66,N67,
N67,N68,
N68,N69,
N69,N70,
N70,N71,
N71,N72,
N72,N73,
N73,N74,
N74,N75,
N75,N76,
N76,N77,
N77,N78,
N78,N79,
N79,N80,
N80,N81,
N81,N82,
N82,N83,
N83,N84,
N84,N85,
N85,N86,
N86,N87,
N87,N88,
N88,N89,
N89,N90,
N90,N91,
N91,N92,
N92,N93,
N93,N94,
N94,N95,
N95,N96,
N96,N97,
N97,N98,
N98,N99,
N99,N100,
N1,,73
N2,,73;87
N3,,73;87;63
N4,,63;73;87;5
N5,,87;5;63;73;10
N6,,63;10;5;73;87;34
N7,,63;73;5;10;34;87;60
N8,,63;73;10;5;34;60;87;41
N9,,63;73;5;10;34;87;41;60;14
N10,,63;73;14;34;41;87;5;10;60;23
N11,,73;60;5;10;41;14;23;34;63;87;27
N12,,73;27;41;87;5;10;14;23;34;60;63;29
N13,,14;23;34;87;5;10;27;29;41;60;63;73;3
N14,,5;41;3;10;14;23;27;29;34;60;63;73;87;48
N15,,73;10;34;60;87;3;5;14;23;27;29;41;48;63;90
N16,,63;73;5;14;3;10;23;27;29;34;41;48;60;87;90;4
N17,,73;5;27;3;10;23;29;60;4;34;41;48;14;63;87;90;8
N18,,63;5;27;3;10;34;87;4;8;14;23;29;41;48;60;73;90;44
N19,,63;73;5;4;10;14;23;29;3;8;27;34;41;44;48;60;87;90;11
N20,,63;73;10;29;41;60;90;3;4;5;8;11;14;23;27;34;44;48;87;13
N21,,63;14;29;8;34;73;87;3;4;5;10;11;13;23;27;41;44;48;60;90;46
N22,,63;73;5;3;29;90;4;8;11;14;34;41;87;10;13;23;27;44;46;48;60;74
N23,,73;74;27;3;4;14;23;34;44;60;87;90;5;8;10;11;13;29;41;46;48;63;50
N24,,74;5;4;10;13;23;29;41;60;87;3;8;11;14;27;34;44;46;48;50;63;73;90;36
N25,,63;46;8;27;48;3;10;11;14;29;34;44;50;60;4;5;13;23;36;41;73;74;87;90;51
N26,,73;74;27;10;14;23;44;60;87;5;8;11;29;46;48;3;4;13;34;36;41;50;51;63;90;77
N27,,63;46;8;4;10;11;23;29;34;41;60;87;90;3;5;13;14;27;36;44;48;50;51;73;74;77;72
N28,,77;63;73;5;3;10;29;36;50;60;90;34;41;48;74;4;8;11;13;14;23;27;44;46;51;72;87;97
N29,,63;46;73;48;3;13;14;29;51;87;90;4;5;8;10;11;23;27;34;36;41;44;50;60;72;74;77;97;19
N30,,46;8;74;48;3;4;11;13;23;29;34;36;41;44;50;51;60;90;5;10;14;19;27;63;72;73;77;87;97;45
N31,,77;27;3;10;23;36;50;60;90;8;11;34;48;74;87;4;5;13;14;19;29;41;44;45;46;51;63;72;73;97;66
N32,,63;73;27;48;10;11;13;19;34;36;45;50;60;87;90;3;4;5;8;14;23;29;41;44;46;51;66;72;74;77;97;57
N33,,63;46;73;74;97;27;48;3;4;11;13;23;29;34;36;41;44;50;51;60;72;87;5;8;10;14;19;45;57;66;77;90;39
N34,,77;63;74;97;48;14;19;29;8;34;46;51;72;87;3;4;5;10;11;13;23;27;36;39;41;44;45;50;57;60;66;73;90;20
N35,,46;8;74;5;27;11;14;19;23;36;41;44;45;60;87;3;4;10;13;20;29;34;39;48;50;51;57;63;66;72;73;77;90;97;22
N36,,77;63;8;97;27;48;3;4;23;29;39;45;51;57;60;72;5;10;11;13;14;19;20;22;34;36;41;44;46;50;66;73;74;87;90;55
N37,,77;20;66;27;3;4;10;11;13;14;23;36;39;41;44;57;72;87;90;5;8;19;22;29;34;45;46;48;50;51;55;60;63;73;74;97;52
N38,,63;66;74;48;4;11;13;14;44;45;10;23;27;46;51;73;87;90;3;5;8;19;20;22;29;34;36;39;41;50;52;55;57;60;72;77;97;9
N39,,77;9;73;97;3;4;11;13;22;23;34;36;55;60;87;27;41;45;48;51;52;5;8;10;14;19;20;29;39;44;46;50;57;63;66;72;74;90;21
N40,,63;46;73;8;66;97;48;10;11;13;14;29;39;41;44;45;50;57;60;72;3;4;5;9;19;20;21;22;23;27;34;36;51;52;55;74;77;87;90;69
N41,,77;74;97;48;3;4;13;14;19;29;41;44;52;57;10;22;34;36;46;50;72;87;5;8;9;11;20;21;23;27;39;45;51;55;60;63;66;69;73;90;95
N42,,20;46;21;27;10;23;29;36;45;50;51;55;60;4;8;11;14;41;74;87;3;5;9;13;19;22;34;39;44;48;52;57;63;66;69;72;73;77;90;95;97;62
N43,,77;63;20;46;66;4;10;13;19;23;34;36;39;41;45;51;57;60;69;72;90;3;5;8;9;11;14;21;22;27;29;44;48;50;52;55;62;73;74;87;95;97;79
N44,,9;20;95;97;3;4;13;14;22;50;60;72;5;10;44;48;52;90;8;11;19;21;23;27;29;34;36;39;41;45;46;51;55;57;62;63;66;69;73;74;77;79;87;32
N45,,77;63;9;73;74;97;5;21;27;48;3;4;10;11;19;23;29;41;44;50;55;57;60;87;90;8;13;14;20;22;32;34;36;39;45;46;51;52;62;66;69;72;79;95;67
N46,,63;46;27;10;13;19;23;36;45;50;52;79;90;11;14;22;32;34;41;44;66;3;4;5;8;9;20;21;29;39;48;51;55;57;60;62;67;69;72;73;74;77;87;95;97;33
