name;n;p;num;tw
result_graph_10_0.25_1.csv;10;0.25;1;6
result_graph_10_0.25_10.csv;10;0.25;10;4
result_graph_10_0.25_100.csv;10;0.25;100;3
result_graph_10_0.25_11.csv;10;0.25;11;2
result_graph_10_0.25_12.csv;10;0.25;12;3
result_graph_10_0.25_13.csv;10;0.25;13;2
result_graph_10_0.25_14.csv;10;0.25;14;5
result_graph_10_0.25_15.csv;10;0.25;15;4
result_graph_10_0.25_16.csv;10;0.25;16;5
result_graph_10_0.25_17.csv;10;0.25;17;3
result_graph_10_0.25_18.csv;10;0.25;18;4
result_graph_10_0.25_19.csv;10;0.25;19;5
result_graph_10_0.25_2.csv;10;0.25;2;4
result_graph_10_0.25_20.csv;10;0.25;20;5
result_graph_10_0.25_21.csv;10;0.25;21;3
result_graph_10_0.25_22.csv;10;0.25;22;5
result_graph_10_0.25_23.csv;10;0.25;23;4
result_graph_10_0.25_24.csv;10;0.25;24;3
result_graph_10_0.25_25.csv;10;0.25;25;3
result_graph_10_0.25_26.csv;10;0.25;26;4
result_graph_10_0.25_27.csv;10;0.25;27;6
result_graph_10_0.25_28.csv;10;0.25;28;5
result_graph_10_0.25_29.csv;10;0.25;29;3
result_graph_10_0.25_3.csv;10;0.25;3;3
result_graph_10_0.25_30.csv;10;0.25;30;5
result_graph_10_0.25_31.csv;10;0.25;31;3
result_graph_10_0.25_32.csv;10;0.25;32;4
result_graph_10_0.25_33.csv;10;0.25;33;4
result_graph_10_0.25_34.csv;10;0.25;34;4
result_graph_10_0.25_35.csv;10;0.25;35;3
result_graph_10_0.25_36.csv;10;0.25;36;3
result_graph_10_0.25_37.csv;10;0.25;37;5
result_graph_10_0.25_38.csv;10;0.25;38;5
result_graph_10_0.25_39.csv;10;0.25;39;5
result_graph_10_0.25_4.csv;10;0.25;4;5
result_graph_10_0.25_40.csv;10;0.25;40;6
result_graph_10_0.25_41.csv;10;0.25;41;3
result_graph_10_0.25_42.csv;10;0.25;42;3
result_graph_10_0.25_43.csv;10;0.25;43;3
result_graph_10_0.25_44.csv;10;0.25;44;5
result_graph_10_0.25_45.csv;10;0.25;45;3
result_graph_10_0.25_46.csv;10;0.25;46;2
result_graph_10_0.25_47.csv;10;0.25;47;4
result_graph_10_0.25_48.csv;10;0.25;48;4
result_graph_10_0.25_49.csv;10;0.25;49;1
result_graph_10_0.25_5.csv;10;0.25;5;3
result_graph_10_0.25_50.csv;10;0.25;50;3
result_graph_10_0.25_51.csv;10;0.25;51;2
result_graph_10_0.25_52.csv;10;0.25;52;5
result_graph_10_0.25_53.csv;10;0.25;53;5
result_graph_10_0.25_54.csv;10;0.25;54;3
result_graph_10_0.25_55.csv;10;0.25;55;4
result_graph_10_0.25_56.csv;10;0.25;56;3
result_graph_10_0.25_57.csv;10;0.25;57;2
result_graph_10_0.25_58.csv;10;0.25;58;4
result_graph_10_0.25_59.csv;10;0.25;59;4
result_graph_10_0.25_6.csv;10;0.25;6;2
result_graph_10_0.25_60.csv;10;0.25;60;7
result_graph_10_0.25_61.csv;10;0.25;61;1
result_graph_10_0.25_62.csv;10;0.25;62;6
result_graph_10_0.25_63.csv;10;0.25;63;4
result_graph_10_0.25_64.csv;10;0.25;64;6
result_graph_10_0.25_65.csv;10;0.25;65;5
result_graph_10_0.25_66.csv;10;0.25;66;3
result_graph_10_0.25_67.csv;10;0.25;67;4
result_graph_10_0.25_68.csv;10;0.25;68;4
result_graph_10_0.25_69.csv;10;0.25;69;5
result_graph_10_0.25_7.csv;10;0.25;7;5
result_graph_10_0.25_70.csv;10;0.25;70;4
result_graph_10_0.25_71.csv;10;0.25;71;4
result_graph_10_0.25_72.csv;10;0.25;72;4
result_graph_10_0.25_73.csv;10;0.25;73;3
result_graph_10_0.25_74.csv;10;0.25;74;2
result_graph_10_0.25_75.csv;10;0.25;75;4
result_graph_10_0.25_76.csv;10;0.25;76;3
result_graph_10_0.25_77.csv;10;0.25;77;3
result_graph_10_0.25_78.csv;10;0.25;78;5
result_graph_10_0.25_79.csv;10;0.25;79;5
result_graph_10_0.25_8.csv;10;0.25;8;4
result_graph_10_0.25_80.csv;10;0.25;80;4
result_graph_10_0.25_81.csv;10;0.25;81;4
result_graph_10_0.25_82.csv;10;0.25;82;5
result_graph_10_0.25_83.csv;10;0.25;83;1
result_graph_10_0.25_84.csv;10;0.25;84;3
result_graph_10_0.25_85.csv;10;0.25;85;2
result_graph_10_0.25_86.csv;10;0.25;86;5
result_graph_10_0.25_87.csv;10;0.25;87;4
result_graph_10_0.25_88.csv;10;0.25;88;4
result_graph_10_0.25_89.csv;10;0.25;89;3
result_graph_10_0.25_9.csv;10;0.25;9;5
result_graph_10_0.25_90.csv;10;0.25;90;4
result_graph_10_0.25_91.csv;10;0.25;91;5
result_graph_10_0.25_92.csv;10;0.25;92;4
result_graph_10_0.25_93.csv;10;0.25;93;4
result_graph_10_0.25_94.csv;10;0.25;94;5
result_graph_10_0.25_95.csv;10;0.25;95;3
result_graph_10_0.25_96.csv;10;0.25;96;4
result_graph_10_0.25_97.csv;10;0.25;97;4
result_graph_10_0.25_98.csv;10;0.25;98;2
result_graph_10_0.25_99.csv;10;0.25;99;6
result_graph_10_0.5_1.csv;10;0.5;1;7
result_graph_10_0.5_10.csv;10;0.5;10;7
result_graph_10_0.5_100.csv;10;0.5;100;5
result_graph_10_0.5_11.csv;10;0.5;11;6
result_graph_10_0.5_12.csv;10;0.5;12;7
result_graph_10_0.5_13.csv;10;0.5;13;5
result_graph_10_0.5_14.csv;10;0.5;14;7
result_graph_10_0.5_15.csv;10;0.5;15;6
result_graph_10_0.5_16.csv;10;0.5;16;5
result_graph_10_0.5_17.csv;10;0.5;17;7
result_graph_10_0.5_18.csv;10;0.5;18;6
result_graph_10_0.5_19.csv;10;0.5;19;7
result_graph_10_0.5_2.csv;10;0.5;2;6
result_graph_10_0.5_20.csv;10;0.5;20;7
result_graph_10_0.5_21.csv;10;0.5;21;6
result_graph_10_0.5_22.csv;10;0.5;22;7
result_graph_10_0.5_23.csv;10;0.5;23;7
result_graph_10_0.5_24.csv;10;0.5;24;7
result_graph_10_0.5_25.csv;10;0.5;25;7
result_graph_10_0.5_26.csv;10;0.5;26;7
result_graph_10_0.5_27.csv;10;0.5;27;7
result_graph_10_0.5_28.csv;10;0.5;28;6
result_graph_10_0.5_29.csv;10;0.5;29;6
result_graph_10_0.5_3.csv;10;0.5;3;6
result_graph_10_0.5_30.csv;10;0.5;30;7
result_graph_10_0.5_31.csv;10;0.5;31;7
result_graph_10_0.5_32.csv;10;0.5;32;7
result_graph_10_0.5_33.csv;10;0.5;33;6
result_graph_10_0.5_34.csv;10;0.5;34;5
result_graph_10_0.5_35.csv;10;0.5;35;7
result_graph_10_0.5_36.csv;10;0.5;36;8
result_graph_10_0.5_37.csv;10;0.5;37;7
result_graph_10_0.5_38.csv;10;0.5;38;7
result_graph_10_0.5_39.csv;10;0.5;39;7
result_graph_10_0.5_4.csv;10;0.5;4;7
result_graph_10_0.5_40.csv;10;0.5;40;8
result_graph_10_0.5_41.csv;10;0.5;41;6
result_graph_10_0.5_42.csv;10;0.5;42;7
result_graph_10_0.5_43.csv;10;0.5;43;6
result_graph_10_0.5_44.csv;10;0.5;44;6
result_graph_10_0.5_45.csv;10;0.5;45;6
result_graph_10_0.5_46.csv;10;0.5;46;6
result_graph_10_0.5_47.csv;10;0.5;47;7
result_graph_10_0.5_48.csv;10;0.5;48;7
result_graph_10_0.5_49.csv;10;0.5;49;9
result_graph_10_0.5_5.csv;10;0.5;5;5
result_graph_10_0.5_50.csv;10;0.5;50;7
result_graph_10_0.5_51.csv;10;0.5;51;8
result_graph_10_0.5_52.csv;10;0.5;52;6
result_graph_10_0.5_53.csv;10;0.5;53;6
result_graph_10_0.5_54.csv;10;0.5;54;8
result_graph_10_0.5_55.csv;10;0.5;55;5
result_graph_10_0.5_56.csv;10;0.5;56;7
result_graph_10_0.5_57.csv;10;0.5;57;6
result_graph_10_0.5_58.csv;10;0.5;58;7
result_graph_10_0.5_59.csv;10;0.5;59;4
result_graph_10_0.5_6.csv;10;0.5;6;6
result_graph_10_0.5_60.csv;10;0.5;60;7
result_graph_10_0.5_61.csv;10;0.5;61;5
result_graph_10_0.5_62.csv;10;0.5;62;6
result_graph_10_0.5_63.csv;10;0.5;63;7
