name;n;p;num;tw
result_graph_100_0.25_1.csv;100;0.25;1;73
result_graph_100_0.25_10.csv;100;0.25;10;73
result_graph_100_0.25_100.csv;100;0.25;100;74
result_graph_100_0.25_11.csv;100;0.25;11;73
result_graph_100_0.25_12.csv;100;0.25;12;73
result_graph_100_0.25_13.csv;100;0.25;13;73
result_graph_100_0.25_14.csv;100;0.25;14;74
result_graph_100_0.25_15.csv;100;0.25;15;72
result_graph_100_0.25_16.csv;100;0.25;16;74
result_graph_100_0.25_17.csv;100;0.25;17;76
result_graph_100_0.25_18.csv;100;0.25;18;72
result_graph_100_0.25_19.csv;100;0.25;19;75
result_graph_100_0.25_2.csv;100;0.25;2;75
result_graph_100_0.25_20.csv;100;0.25;20;74
result_graph_100_0.25_21.csv;100;0.25;21;74
result_graph_100_0.25_22.csv;100;0.25;22;74
result_graph_100_0.25_23.csv;100;0.25;23;73
result_graph_100_0.25_24.csv;100;0.25;24;74
result_graph_100_0.25_25.csv;100;0.25;25;74
result_graph_100_0.25_26.csv;100;0.25;26;74
result_graph_100_0.25_27.csv;100;0.25;27;73
result_graph_100_0.25_28.csv;100;0.25;28;73
result_graph_100_0.25_29.csv;100;0.25;29;73
result_graph_100_0.25_3.csv;100;0.25;3;74
result_graph_100_0.25_30.csv;100;0.25;30;75
result_graph_100_0.25_31.csv;100;0.25;31;71
result_graph_100_0.25_32.csv;100;0.25;32;72
result_graph_100_0.25_33.csv;100;0.25;33;75
result_graph_100_0.25_34.csv;100;0.25;34;71
result_graph_100_0.25_35.csv;100;0.25;35;73
result_graph_100_0.25_36.csv;100;0.25;36;73
result_graph_100_0.25_37.csv;100;0.25;37;74
result_graph_100_0.25_38.csv;100;0.25;38;74
result_graph_100_0.25_39.csv;100;0.25;39;73
result_graph_100_0.25_4.csv;100;0.25;4;73
result_graph_100_0.25_40.csv;100;0.25;40;74
result_graph_100_0.25_41.csv;100;0.25;41;72
result_graph_100_0.25_42.csv;100;0.25;42;75
result_graph_100_0.25_43.csv;100;0.25;43;75
result_graph_100_0.25_44.csv;100;0.25;44;73
result_graph_100_0.25_45.csv;100;0.25;45;74
result_graph_100_0.25_46.csv;100;0.25;46;76
result_graph_100_0.25_47.csv;100;0.25;47;74
result_graph_100_0.25_48.csv;100;0.25;48;73
result_graph_100_0.25_49.csv;100;0.25;49;73
result_graph_100_0.25_5.csv;100;0.25;5;72
result_graph_100_0.25_50.csv;100;0.25;50;73
result_graph_100_0.25_51.csv;100;0.25;51;74
result_graph_100_0.25_52.csv;100;0.25;52;72
result_graph_100_0.25_53.csv;100;0.25;53;75
result_graph_100_0.25_54.csv;100;0.25;54;71
result_graph_100_0.25_55.csv;100;0.25;55;74
