name;n;p;num;tw
result_graph_200_0.25_1.csv;200;0.25;1;168
result_graph_200_0.25_10.csv;200;0.25;10;166
result_graph_200_0.25_100.csv;200;0.25;100;166
result_graph_200_0.25_11.csv;200;0.25;11;168
result_graph_200_0.25_12.csv;200;0.25;12;166
result_graph_200_0.25_13.csv;200;0.25;13;169
result_graph_200_0.25_14.csv;200;0.25;14;168
result_graph_200_0.25_15.csv;200;0.25;15;165
result_graph_200_0.25_16.csv;200;0.25;16;167
result_graph_200_0.25_17.csv;200;0.25;17;167
result_graph_200_0.25_18.csv;200;0.25;18;166
result_graph_200_0.25_19.csv;200;0.25;19;166
result_graph_200_0.25_2.csv;200;0.25;2;168
result_graph_200_0.25_20.csv;200;0.25;20;167
result_graph_200_0.25_21.csv;200;0.25;21;166
result_graph_200_0.25_22.csv;200;0.25;22;167
result_graph_200_0.25_23.csv;200;0.25;23;167
result_graph_200_0.25_24.csv;200;0.25;24;166
result_graph_200_0.25_25.csv;200;0.25;25;165
result_graph_200_0.25_26.csv;200;0.25;26;169
result_graph_200_0.25_27.csv;200;0.25;27;168
result_graph_200_0.25_28.csv;200;0.25;28;169
result_graph_200_0.25_29.csv;200;0.25;29;165
result_graph_200_0.25_3.csv;200;0.25;3;167
result_graph_200_0.25_30.csv;200;0.25;30;167
result_graph_200_0.25_31.csv;200;0.25;31;166
result_graph_200_0.25_32.csv;200;0.25;32;166
result_graph_200_0.25_33.csv;200;0.25;33;166
result_graph_200_0.25_34.csv;200;0.25;34;164
result_graph_200_0.25_35.csv;200;0.25;35;167
result_graph_200_0.25_36.csv;200;0.25;36;168
result_graph_200_0.25_37.csv;200;0.25;37;167
result_graph_200_0.25_38.csv;200;0.25;38;167
result_graph_200_0.25_39.csv;200;0.25;39;168
result_graph_200_0.25_4.csv;200;0.25;4;168
result_graph_200_0.25_40.csv;200;0.25;40;165
result_graph_200_0.25_41.csv;200;0.25;41;167
result_graph_200_0.25_42.csv;200;0.25;42;167
result_graph_200_0.25_43.csv;200;0.25;43;168
result_graph_200_0.25_44.csv;200;0.25;44;165
result_graph_200_0.25_45.csv;200;0.25;45;167
result_graph_200_0.25_46.csv;200;0.25;46;167
result_graph_200_0.25_47.csv;200;0.25;47;168
result_graph_200_0.25_48.csv;200;0.25;48;167
result_graph_200_0.25_49.csv;200;0.25;49;167
result_graph_200_0.25_5.csv;200;0.25;5;166
result_graph_200_0.25_50.csv;200;0.25;50;166
result_graph_200_0.25_51.csv;200;0.25;51;167
result_graph_200_0.25_52.csv;200;0.25;52;166
result_graph_200_0.25_53.csv;200;0.25;53;167
result_graph_200_0.25_54.csv;200;0.25;54;165
result_graph_200_0.25_55.csv;200;0.25;55;166
result_graph_200_0.25_56.csv;200;0.25;56;167
result_graph_200_0.25_57.csv;200;0.25;57;166
result_graph_200_0.25_58.csv;200;0.25;58;166
result_graph_200_0.25_59.csv;200;0.25;59;167
result_graph_200_0.25_6.csv;200;0.25;6;167
result_graph_200_0.25_60.csv;200;0.25;60;169
result_graph_200_0.25_61.csv;200;0.25;61;163
result_graph_200_0.25_62.csv;200;0.25;62;168
result_graph_200_0.25_63.csv;200;0.25;63;165
result_graph_200_0.25_64.csv;200;0.25;64;167
result_graph_200_0.25_65.csv;200;0.25;65;167
result_graph_200_0.25_66.csv;200;0.25;66;169
result_graph_200_0.25_67.csv;200;0.25;67;168
result_graph_200_0.25_68.csv;200;0.25;68;164
result_graph_200_0.25_69.csv;200;0.25;69;165
result_graph_200_0.25_7.csv;200;0.25;7;165
result_graph_200_0.25_70.csv;200;0.25;70;165
result_graph_200_0.25_71.csv;200;0.25;71;163
result_graph_200_0.25_72.csv;200;0.25;72;166
result_graph_200_0.25_73.csv;200;0.25;73;165
result_graph_200_0.25_74.csv;200;0.25;74;167
result_graph_200_0.25_75.csv;200;0.25;75;164
result_graph_200_0.25_76.csv;200;0.25;76;167
result_graph_200_0.25_77.csv;200;0.25;77;165
result_graph_200_0.25_78.csv;200;0.25;78;167
result_graph_200_0.25_79.csv;200;0.25;79;168
result_graph_200_0.25_8.csv;200;0.25;8;165
result_graph_200_0.25_80.csv;200;0.25;80;167
result_graph_200_0.25_81.csv;200;0.25;81;167
result_graph_200_0.25_82.csv;200;0.25;82;165
result_graph_200_0.25_83.csv;200;0.25;83;165
result_graph_200_0.25_84.csv;200;0.25;84;165
result_graph_200_0.25_85.csv;200;0.25;85;167
result_graph_200_0.25_86.csv;200;0.25;86;168
result_graph_200_0.25_87.csv;200;0.25;87;167
result_graph_200_0.25_88.csv;200;0.25;88;166
result_graph_200_0.25_89.csv;200;0.25;89;167
result_graph_200_0.25_9.csv;200;0.25;9;170
result_graph_200_0.25_90.csv;200;0.25;90;166
result_graph_200_0.25_91.csv;200;0.25;91;167
result_graph_200_0.25_92.csv;200;0.25;92;165
result_graph_200_0.25_93.csv;200;0.25;93;166
result_graph_200_0.25_94.csv;200;0.25;94;170
result_graph_200_0.25_95.csv;200;0.25;95;165
result_graph_200_0.25_96.csv;200;0.25;96;166
result_graph_200_0.25_97.csv;200;0.25;97;169
result_graph_200_0.25_98.csv;200;0.25;98;168
result_graph_200_0.25_99.csv;200;0.25;99;167
